source,target,language,note
Open,Ouvrir,fr,Apple HIG
Hide,Masquer,fr,Apple HIG
Accept,Accepter,fr,Apple HIG
Apply,Appliquer,fr,Apple HIG
Reset,Réinitialiser,fr,Apple HIG
Codebook,Grille de codage,fr,QDA convention
Quotes,Verbatim,fr,QDA term
Sessions,Entretiens,fr,QDA term
Signals,Signaux,fr,QDA term
Codes,Codes,fr,QDA term
Save,저장,ko,Apple HIG
Cancel,취소,ko,Apple HIG
Close,닫기,ko,Apple HIG
Copy,복사,ko,Apple HIG
Delete,삭제,ko,Apple HIG
Undo,실행 취소,ko,Apple HIG
Redo,실행 복귀,ko,Apple HIG
Search,검색,ko,Apple HIG
Print,프린트,ko,Apple HIG
Export,내보내기,ko,Apple HIG
Settings,설정,ko,Apple HIG
Open,열기,ko,Apple HIG
Hide,가리기,ko,Apple HIG
Accept,승인,ko,Apple HIG
Apply,적용,ko,Apple HIG
Reset,재설정,ko,Apple HIG
Codebook,코드북,ko,QDA convention
Quotes,인용문,ko,QDA term
Sessions,세션,ko,QDA term
Signals,시그널,ko,QDA term
Codes,코드,ko,QDA term
Save,保存,ja,Apple HIG
Cancel,キャンセル,ja,Apple HIG
Close,閉じる,ja,Apple HIG
Copy,コピー,ja,Apple HIG
Delete,削除,ja,Apple HIG
Undo,取り消す,ja,Apple HIG (macOS Edit menu)
Redo,やり直す,ja,Apple HIG (macOS Edit menu)
Search,検索,ja,Apple HIG
Print,プリント,ja,Apple HIG
Export,書き出す,ja,Apple HIG (verb form); エクスポート in noun contexts
Import,読み込む,ja,Apple HIG (verb form); インポート in noun contexts
Settings,設定,ja,Apple HIG (post-Ventura — replaced 環境設定)
Open,開く,ja,Apple HIG
Hide,非表示,ja,Apple HIG
Show,表示,ja,Apple HIG
Accept,承認,ja,Apple HIG / MS
Apply,適用,ja,Apple HIG
Reset,リセット,ja,Apple HIG
Edit,編集,ja,Apple HIG
Done,完了,ja,Apple HIG
Confirm,確認,ja,Apple HIG / MS
Continue,続ける,ja,Apple HIG
Back,戻る,ja,Apple HIG
Next,次へ,ja,Apple HIG
Skip,スキップ,ja,Apple HIG
Add,追加,ja,Apple HIG
Refresh,更新,ja,Apple HIG
Window,ウインドウ,ja,Apple JA (no small ィ — Apple convention)
Tab,タブ,ja,Apple HIG
Sidebar,サイドバー,ja,Apple HIG
Toolbar,ツールバー,ja,Apple HIG
Menu,メニュー,ja,Apple HIG
Help,ヘルプ,ja,Apple HIG
Quit,終了,ja,Apple HIG (app menu pattern)
Folder,フォルダ,ja,Apple JA (no long mark; MS uses フォルダー)
Project,プロジェクト,ja,Universal SaaS loanword
Filter,フィルタ,ja,Apple JA (no long mark; matches Photos.app)
Sort,並び替え,ja,Apple HIG
Share,共有,ja,Apple HIG
Sync,同期,ja,Apple HIG
Sign in,サインイン,ja,Apple HIG / MS
Codes,コード,ja,QDA / design-i18n.md table
Codebook,コードブック,ja,QDA / design-i18n.md table
Tags,タグ,ja,Universal loanword (design-i18n.md table)
Quotes,発言,ja,design-i18n.md anchored — hatsugen (utterance) — not 引用
Sessions,セッション,ja,design-i18n.md table
Signals,シグナル,ja,design-i18n.md anchored — Bristlenose-specific concept
Theme,テーマ,ja,UX TIMES / design-i18n.md
Topic,トピック,ja,Apple HIG
Cluster,クラスタ,ja,Apple JA (no long mark)
Section,セクション,ja,Apple HIG
Interview,インタビュー,ja,HCD-Net / UX register
Participant,参加者,ja,HCD-Net standard
Researcher,研究者,ja,HCD-Net / formal register
Observer,観察者,ja,Native reads natural here
Transcript,トランスクリプト,ja,QDA-product register; 文字起こし for descriptive text
Speaker,話者,ja,Linguistics/transcription standard (not スピーカー = audio device)
User,ユーザー,ja,Apple HIG (long mark kept)
Usability,ユーザビリティ,ja,HCD-Net
Journey,ジャーニー,ja,UX register (e.g. カスタマージャーニー)
Friction,フリクション,ja,UX TIMES; # review for native nuance
Sentiment,感情,ja,HCD-Net / native reads natural
Insight,インサイト,ja,UX TIMES
Finding,発見,ja,Native reads natural
Affordance,アフォーダンス,ja,design-i18n.md anchored — Don Norman katakana
Signifier,シグニファイア,ja,design-i18n.md anchored — Don Norman katakana
Mapping,マッピング,ja,design-i18n.md anchored — Don Norman katakana
Feedback,フィードバック,ja,Universal
Frustration,フラストレーション,ja,UX register
Confusion,混乱,ja,Native reads natural
Doubt,疑念,ja,Native reads natural
Surprise,驚き,ja,Native reads natural
Satisfaction,満足,ja,Native reads natural
Delight,喜び,ja,Native reads natural
Confidence,自信,ja,Native reads natural
Coding,コーディング,ja,QDA standard
Affinity diagram,親和図,ja,KJ法 lineage — native Japanese reads natural
Memo,メモ,ja,MAXQDA JA
Anonymisation,匿名化,ja,Standard ja legal/data register
PII,個人情報,ja,Standard ja legal term
Pipeline,パイプライン,ja,Engineering loanword
Stage,ステージ,ja,Apple HIG (tech context)
Render,レンダリング,ja,Tech standard
Heatmap,ヒートマップ,ja,Universal
Save,Uložit,cs,Apple HIG
Cancel,Zrušit,cs,Apple HIG
Close,Zavřít,cs,Apple HIG
Copy,Kopírovat,cs,Apple HIG
Delete,Smazat,cs,Apple HIG (action sense)
Undo,Zpět,cs,Apple HIG (macOS Edit menu)
Redo,Znovu,cs,Apple HIG (macOS Edit menu)
Search,Hledat,cs,Apple HIG
Print,Tisknout,cs,Apple HIG
Export,Exportovat,cs,Apple HIG
Settings,Nastavení,cs,Apple HIG
Open,Otevřít,cs,Apple HIG
Hide,Skrýt,cs,Apple HIG
Accept,Přijmout,cs,Apple HIG
Apply,Použít,cs,Apple HIG
Reset,Obnovit,cs,Apple HIG
Codebook,Kniha kódů,cs,QDA convention
Quotes,Citáty,cs,QDA term — countable: citát
Sessions,Sezení,cs,QDA term
Signals,Signály,cs,QDA term
Codes,Kódy,cs,QDA term
Save,Salva,it,Apple HIG
Cancel,Annulla,it,Apple HIG
Close,Chiudi,it,Apple HIG
Copy,Copia,it,Apple HIG
Delete,Elimina,it,Apple HIG (action sense)
Undo,Annulla,it,Apple HIG (macOS Edit menu)
Redo,Ripristina,it,Apple HIG (macOS Edit menu)
Search,Cerca,it,Apple HIG
Print,Stampa,it,Apple HIG
Export,Esporta,it,Apple HIG
Import,Importa,it,Apple HIG
Settings,Impostazioni,it,Apple HIG
Open,Apri,it,Apple HIG
Hide,Nascondi,it,Apple HIG
Show,Mostra,it,Apple HIG
Accept,Accetta,it,Apple HIG
Apply,Applica,it,Apple HIG
Reset,Reimposta,it,Apple HIG
Done,Fine,it,Apple HIG
Edit,Modifica,it,Apple HIG
Add,Aggiungi,it,Apple HIG
Remove,Rimuovi,it,Apple HIG
Quit,Esci,it,Apple HIG
Codebook,Libro dei codici,it,QDA convention
Quotes,Citazioni,it,QDA term — countable: citazione
Sessions,Sessioni,it,QDA term
Signals,Segnali,it,QDA term
Codes,Codici,it,QDA term
Save,Salvar,pt-BR,Apple HIG (BR: Salvar vs PT: Guardar)
Cancel,Cancelar,pt-BR,Apple HIG
Close,Fechar,pt-BR,Apple HIG
Copy,Copiar,pt-BR,Apple HIG
Delete,Excluir,pt-BR,Apple HIG action sense (BR: Excluir vs PT: Eliminar)
Undo,Desfazer,pt-BR,Apple HIG
Redo,Refazer,pt-BR,Apple HIG
Search,Buscar,pt-BR,Apple HIG (BR: Buscar vs PT: Procurar)
Print,Imprimir,pt-BR,Apple HIG
Export,Exportar,pt-BR,Apple HIG
Settings,Ajustes,pt-BR,Apple HIG post-Ventura (BR: Ajustes vs PT: Definições)
Open,Abrir,pt-BR,Apple HIG
Hide,Ocultar,pt-BR,Apple HIG
Accept,Aceitar,pt-BR,Apple HIG
Apply,Aplicar,pt-BR,Apple HIG
Reset,Redefinir,pt-BR,Apple HIG (BR: Redefinir vs PT: Repor)
Codebook,Livro de códigos,pt-BR,ATLAS.ti/MAXQDA convention
Quotes,Citações,pt-BR,QDA term — not Aspas (punctuation)
Sessions,Sessões,pt-BR,QDA term
Signals,Sinais,pt-BR,QDA term
Codes,Códigos,pt-BR,QDA term
Save,Guardar,pt-PT,Apple HIG (PT: Guardar vs BR: Salvar)
Cancel,Cancelar,pt-PT,Apple HIG
Close,Fechar,pt-PT,Apple HIG
Copy,Copiar,pt-PT,Apple HIG
Delete,Eliminar,pt-PT,Apple HIG action sense (PT: Eliminar vs BR: Excluir)
Undo,Desfazer,pt-PT,Apple HIG
Redo,Refazer,pt-PT,Apple HIG
Search,Procurar,pt-PT,Apple HIG (PT: Procurar vs BR: Buscar)
Print,Imprimir,pt-PT,Apple HIG
Export,Exportar,pt-PT,Apple HIG
Settings,Definições,pt-PT,Apple HIG (PT: Definições vs BR: Ajustes)
Open,Abrir,pt-PT,Apple HIG
Hide,Ocultar,pt-PT,Apple HIG
Accept,Aceitar,pt-PT,Apple HIG
Apply,Aplicar,pt-PT,Apple HIG
Reset,Repor,pt-PT,Apple HIG (PT: Repor vs BR: Redefinir)
Codebook,Livro de códigos,pt-PT,ATLAS.ti/MAXQDA convention
Quotes,Citações,pt-PT,QDA term — not Aspas (punctuation)
Sessions,Sessões,pt-PT,QDA term
Signals,Sinais,pt-PT,QDA term
Codes,Códigos,pt-PT,QDA term
Save,儲存,zh-Hant,Apple HIG
Cancel,取消,zh-Hant,Apple HIG
Close,關閉,zh-Hant,Apple HIG
Copy,拷貝,zh-Hant,Apple HIG (macOS Edit menu)
Delete,刪除,zh-Hant,Apple HIG (action sense)
Undo,還原,zh-Hant,Apple HIG (macOS Edit menu)
Redo,重做,zh-Hant,Apple HIG (macOS Edit menu)
Search,搜尋,zh-Hant,Apple HIG
Print,列印,zh-Hant,Apple HIG
Export,輸出,zh-Hant,Apple HIG
Import,輸入,zh-Hant,Apple HIG
Settings,設定,zh-Hant,Apple HIG
Open,打開,zh-Hant,Apple HIG
Hide,隱藏,zh-Hant,Apple HIG
Show,顯示,zh-Hant,Apple HIG
Accept,接受,zh-Hant,Apple HIG
Apply,套用,zh-Hant,Apple HIG
Reset,重設,zh-Hant,Apple HIG
Done,完成,zh-Hant,Apple HIG
Edit,編輯,zh-Hant,Apple HIG
Add,加入,zh-Hant,Apple HIG
Remove,移除,zh-Hant,Apple HIG
Quit,結束,zh-Hant,Apple HIG
Codebook,代碼簿,zh-Hant,QDA convention
Quotes,引述,zh-Hant,QDA term — countable
Sessions,工作階段,zh-Hant,QDA term
Signals,訊號,zh-Hant,QDA term
Codes,代碼,zh-Hant,QDA term

Save,Zapisz,pl,Apple HIG
Cancel,Anuluj,pl,Apple HIG
Close,Zamknij,pl,Apple HIG
Copy,Kopiuj,pl,Apple HIG
Delete,Usuń,pl,Apple HIG (action sense)
Undo,Cofnij,pl,Apple HIG (macOS Edit menu)
Redo,Ponów,pl,Apple HIG (macOS Edit menu)
Search,Szukaj,pl,Apple HIG
Print,Drukuj,pl,Apple HIG
Export,Eksportuj,pl,Apple HIG
Settings,Ustawienia,pl,Apple HIG
Open,Otwórz,pl,Apple HIG
Hide,Ukryj,pl,Apple HIG
Accept,Zaakceptuj,pl,Apple HIG
Apply,Zastosuj,pl,Apple HIG
Reset,Resetuj,pl,Apple HIG
Codebook,Księga kodów,pl,QDA convention
Quotes,Cytaty,pl,QDA term — countable: cytat
Sessions,Sesje,pl,QDA term
Signals,Sygnały,pl,QDA term
Codes,Kody,pl,QDA term
Save,Сохранить,ru,Apple HIG
Cancel,Отмена,ru,Apple HIG (button); Отменить = Undo
Close,Закрыть,ru,Apple HIG
Copy,Скопировать,ru,Apple HIG (Edit menu)
Delete,Удалить,ru,Apple HIG; Убрать = Remove
Undo,Отменить,ru,Apple HIG (macOS Edit menu)
Redo,Повторить,ru,Apple HIG (macOS Edit menu)
Search,Найти,ru,Apple HIG (Find); label = Поиск
Print,Напечатать,ru,Apple HIG
Export,Экспортировать,ru,Apple HIG
Settings,Настройки,ru,Apple HIG; alt Параметры
Open,Открыть,ru,Apple HIG
Hide,Скрыть,ru,Apple HIG
Accept,Принять,ru,Apple HIG
Apply,Применить,ru,Apple HIG
Reset,Сбросить,ru,Apple HIG
Codebook,Книга кодов,ru,QDA convention; alt Кодировочная схема
Quotes,Цитаты,ru,QDA term — countable: цитата
Sessions,Сессии,ru,QDA term
Signals,Сигналы,ru,product term
Codes,Коды,ru,QDA term
Save,Зберегти,uk,Apple HIG
Cancel,Скасувати,uk,Apple HIG
Close,Закрити,uk,Apple HIG
Copy,Скопіювати,uk,Apple HIG (Edit menu)
Delete,Видалити,uk,Apple HIG; Вилучити = Remove
Undo,Відмінити,uk,disambiguate from Cancel = Скасувати
Redo,Повторити,uk,Apple HIG (macOS Edit menu)
Search,Знайти,uk,Apple HIG (Find); label = Пошук
Print,Надрукувати,uk,Apple HIG
Export,Експортувати,uk,Apple HIG
Settings,Параметри,uk,Apple HIG; alt Налаштування
Open,Відкрити,uk,Apple HIG
Hide,Сховати,uk,Apple HIG; alt Приховати
Accept,Прийняти,uk,Apple HIG
Apply,Застосувати,uk,Apple HIG
Reset,Скинути,uk,Apple HIG
Codebook,Книга кодів,uk,QDA convention; alt Схема кодування
Quotes,Цитати,uk,QDA term — countable: цитата
Sessions,Сесії,uk,QDA term
Signals,Сигнали,uk,product term
Codes,Коди,uk,QDA term
